Nome Comum,População,Área,Continente
Slovenia,"75,381","20,271 km²",Europe
Solomon Islands,17,"28,400 km²",Oceana
Somalia,"4,451","637,657 km²",Africa
South Africa,"790,004","12,199,912 km²",Africa
South Sudan,"3,109","619,745 km²",Africa
Spain,"1,628,208","505,990 km²",Europe
Sri Lanka,"23,484","65,610 km²",Asia
Sudan,"17,810","1,886,068 km²",Africa
Suriname,"5,312","163,821 km²",South America
Swaziland,0,"17,364 km²",Africa
Sweden,"243,129","450,295 km²",Europe
Switzerland,"317,017","41,285 km²",Europe
Syria,0,"185,180 km²",Asia
Taiwan,0,"36,193 km²",Asia
Tajikistan,"12,155","143,100 km²",Asia
Tanzania,0,"945,087 km²",Africa
Thailand,"3,998","513,120 km²",Asia
Togo,"2,946","56,785 km²",Africa
Tonga,0,747 km²,Oceana
Trinidad And Tobago,0,0 km²,
Tunisia,"96,769",0 km²,
Turkey,"494,351","783,562 km²",Asia
Turkmenistan,0,"491,210 km²",Asia
Tuvalu,0,26 km²,Oceana
Uganda,"20,459","241,037 km²",Africa
Ukraine,"732,625","603,628 km²",Europe
United Arab Emirates,"168,860","83,600 km²",Asia
United Kingdom,0,"242,495 km²",Europe
United States,0,"9,834,000 km²",North America
Uruguay,"5,716","176,215 km²",South America
Uzbekistan,"72,920","448,978 km²",Asia
Vanuatu,1,"12,189 km²",Oceana
Venezuela,0,"916,445 km²",South America
Vietnam,0,"331,212 km²",Asia
Yemen,"2,081","527,968 km²",Asia
Zambia,"17,647","752,618 km²",Africa
Zimbabwe,"10,034","390,757 km²",Africa
